序号,汉字,拼音,首次学期,年级,册,组词,网络核对,来源
1,天,tian,一上,1,上,天空、天气、白天,缺,本地识字表文件(部编版)
2,地,di,一上,1,上,大地、地方、土地,缺,本地识字表文件(部编版)
3,人,ren,一上,1,上,大人、人们、人人,缺,本地识字表文件(部编版)
4,你,ni,一上,1,上,你好、你们、你我,缺,本地识字表文件(部编版)
5,我,wo,一上,1,上,我们、我国、自我,缺,本地识字表文件(部编版)
6,他,ta,一上,1,上,他们、他人、他家,缺,本地识字表文件(部编版)
7,一,yi,一上,1,上,一个、一天、一家,缺,本地识字表文件(部编版)
8,二,er,一上,1,上,一二、二手、二月,缺,本地识字表文件(部编版)
9,三,san,一上,1,上,三天、三月、三国,缺,本地识字表文件(部编版)
10,四,si,一上,1,上,四大、四面、四海,缺,本地识字表文件(部编版)
11,五,wu,一上,1,上,五一、五色、五行,缺,本地识字表文件(部编版)
12,上,shang,一上,1,上,上学、上山、地上,缺,本地识字表文件(部编版)
13,下,xia,一上,1,上,下雨、下山、一下,缺,本地识字表文件(部编版)
14,口,kou,一上,1,上,大口、口水、人口,缺,本地识字表文件(部编版)
15,耳,er,一上,1,上,耳朵、耳机、耳语,缺,本地识字表文件(部编版)
16,目,mu,一上,1,上,节目、目光、心目,缺,本地识字表文件(部编版)
17,手,shou,一上,1,上,手心、动手、手机,缺,本地识字表文件(部编版)
18,足,zu,一上,1,上,足球、满足、手足,缺,本地识字表文件(部编版)
19,站,zhan,一上,1,上,车站、站点、站长、站台,缺,本地识字表文件(部编版)
20,坐,zuo,一上,1,上,坐下、坐车、请坐,缺,本地识字表文件(部编版)
21,日,ri,一上,1,上,生日、日子、日头,缺,本地识字表文件(部编版)
22,月,yue,一上,1,上,月亮、月光、一月,缺,本地识字表文件(部编版)
23,山,shan,一上,1,上,大山、山水、天山,缺,本地识字表文件(部编版)
24,川,chuan,一上,1,上,山川、平川、小川,缺,本地识字表文件(部编版)
25,水,shui,一上,1,上,水果、山水、水花,缺,本地识字表文件(部编版)
26,火,huo,一上,1,上,火山、火花、大火,缺,本地识字表文件(部编版)
27,田,tian,一上,1,上,田野、水田、田地,缺,本地识字表文件(部编版)
28,禾,he,一上,1,上,禾苗、禾草、禾谷,缺,本地识字表文件(部编版)
29,六,liu,一上,1,上,六月、六角、六神,缺,本地识字表文件(部编版)
30,七,qi,一上,1,上,七月、七星、七声,缺,本地识字表文件(部编版)
31,八,ba,一上,1,上,八月、八方、八成,缺,本地识字表文件(部编版)
32,九,jiu,一上,1,上,九月、九天、九州,缺,本地识字表文件(部编版)
33,十,shi,一上,1,上,十分、十一、十字,缺,本地识字表文件(部编版)
34,爸,ba,一上,1,上,爸爸、老爸、爸妈、阿爸,缺,本地识字表文件(部编版)
35,妈,ma,一上,1,上,妈妈、大妈、干妈,缺,本地识字表文件(部编版)
36,大,da,一上,1,上,大家、大人、大山,在,本地识字表文件(部编版)
37,马,ma,一上,1,上,小马、大马、天马,缺,本地识字表文件(部编版)
38,路,lu,一上,1,上,大路、山路、一路,缺,本地识字表文件(部编版)
39,土,tu,一上,1,上,土地、国土、水土,缺,本地识字表文件(部编版)
40,本,ben,一上,1,上,本子、本人、本地,缺,本地识字表文件(部编版)
41,学,xue,一上,1,上,学生、小学、大学,缺,本地识字表文件(部编版)
42,校,xiao,一上,1,上,学校、校长、校区,缺,本地识字表文件(部编版)
43,班,ban,一上,1,上,班级、班长、上班,缺,本地识字表文件(部编版)
44,级,ji,一上,1,上,年级、高级、一级,在,本地识字表文件(部编版)
45,姓,xing,一上,1,上,姓名、百姓、贵姓,缺,本地识字表文件(部编版)
46,名,ming,一上,1,上,名字、名人、大名,缺,本地识字表文件(部编版)
47,王,wang,一上,1,上,王子、国王、王国,缺,本地识字表文件(部编版)
48,哥,ge,一上,1,上,哥哥、大哥、小哥,缺,本地识字表文件(部编版)
49,弟,di,一上,1,上,弟弟、表弟、小弟,缺,本地识字表文件(部编版)
50,画,hua,一上,1,上,动画、画家、国画,缺,本地识字表文件(部编版)
51,花,hua,一上,1,上,花生、花儿、小花,缺,本地识字表文件(部编版)
52,打,da,一上,1,上,打球、打气、打水,缺,本地识字表文件(部编版)
53,棋,qi,一上,1,上,下棋、棋子、棋盘,缺,本地识字表文件(部编版)
54,积,ji,一上,1,上,积分、面积、体积,缺,本地识字表文件(部编版)
55,木,mu,一上,1,上,木头、木马、木工,缺,本地识字表文件(部编版)
56,字,zi,一上,1,上,写字、生字、文字,缺,本地识字表文件(部编版)
57,词,ci,一上,1,上,生词、动词、数词,缺,本地识字表文件(部编版)
58,句,ju,一上,1,上,句子、语句、名句,缺,本地识字表文件(部编版)
59,子,zi,一上,1,上,孩子、儿子、子女,缺,本地识字表文件(部编版)
60,桌,zhuo,一上,1,上,桌子、书桌、同桌、桌布,缺,本地识字表文件(部编版)
61,纸,zhi,一上,1,上,报纸、纸花、白纸,缺,本地识字表文件(部编版)
62,读,du,一上,1,上,读书、读物、朗读,在,本地识字表文件(部编版)
63,书,shu,一上,1,上,书本、图书、家书,缺,本地识字表文件(部编版)
64,鱼,yu,一上,1,上,金鱼、小鱼、海鱼,缺,本地识字表文件(部编版)
65,鸭,ya,一上,1,上,鸭子、黄鸭、野鸭,缺,本地识字表文件(部编版)
66,乌,wu,一上,1,上,乌云、乌黑、乌龙,缺,本地识字表文件(部编版)
67,鸦,ya,一上,1,上,乌鸦、涂鸦、寒鸦,缺,本地识字表文件(部编版)
68,午,wu,一上,1,上,中午、上午、下午,缺,本地识字表文件(部编版)
69,星,xing,一上,1,上,星星、海星、行星,缺,本地识字表文件(部编版)
70,期,qi,一上,1,上,学期、期中、长期,缺,本地识字表文件(部编版)
71,语,yu,一上,1,上,语文、口语、手语,缺,本地识字表文件(部编版)
72,文,wen,一上,1,上,中文、文学、天文,缺,本地识字表文件(部编版)
73,数,shu,一上,1,上,数学、数字、分数,缺,本地识字表文件(部编版)
74,写,xie,一上,1,上,写字、写作、手写,缺,本地识字表文件(部编版)
75,会,hui,一上,1,上,学会、大会、一会儿,缺,本地识字表文件(部编版)
76,白,bai,一上,1,上,白天、白云、白雪,缺,本地识字表文件(部编版)
77,菜,cai,一上,1,上,白菜、菜地、生菜,缺,本地识字表文件(部编版)
78,西,xi,一上,1,上,西瓜、西边、山西,缺,本地识字表文件(部编版)
79,瓜,gua,一上,1,上,西瓜、黄瓜、南瓜,缺,本地识字表文件(部编版)
80,果,guo,一上,1,上,水果、成果、果然,缺,本地识字表文件(部编版)
81,小,xiao,一上,1,上,小学、小心、小区,缺,本地识字表文件(部编版)
82,桥,qiao,一上,1,上,大桥、小桥、天桥,缺,本地识字表文件(部编版)
83,流,liu,一上,1,上,流水、流动、流行,缺,本地识字表文件(部编版)
84,柳,liu,一上,1,上,柳树、柳枝、柳林,缺,本地识字表文件(部编版)
85,开,kai,一上,1,上,开心、开学、开水,缺,本地识字表文件(部编版)
86,雪,xue,一上,1,上,雪人、雪花、下雪,缺,本地识字表文件(部编版)
87,夜,ye,一上,1,上,夜晚、夜市、日夜,缺,本地识字表文件(部编版)
88,色,se,一上,1,上,颜色、白色、金色,缺,本地识字表文件(部编版)
89,美,mei,一上,1,上,美丽、美好、美化,缺,本地识字表文件(部编版)
90,蓝,lan,一上,1,上,蓝天、蓝色、天蓝,缺,本地识字表文件(部编版)
91,云,yun,一上,1,上,白云、云朵、云海,缺,本地识字表文件(部编版)
92,草,cao,一上,1,上,草地、花草、水草,缺,本地识字表文件(部编版)
93,原,yuan,一上,1,上,原来、高原、原地,缺,本地识字表文件(部编版)
94,冰,bing,一上,1,上,冰块、冰山、冰花,在,本地识字表文件(部编版)
95,自,zi,一上,1,上,自己、自动、自学,缺,本地识字表文件(部编版)
96,行,xing,一上,1,上,行人、步行、不行,缺,本地识字表文件(部编版)
97,车,che,一上,1,上,车子、马车、动车,缺,本地识字表文件(部编版)
98,晚,wan,一上,1,上,晚上、晚安、晚会,缺,本地识字表文件(部编版)
99,昨,zuo,一上,1,上,昨天、昨夜、昨晚,缺,本地识字表文件(部编版)
100,今,jin,一上,1,上,今天、今年、今后,缺,本地识字表文件(部编版)
101,明,ming,一上,1,上,明天、明白、天明,缺,本地识字表文件(部编版)
102,个,ge,一上,1,上,一个、个子、个人,缺,本地识字表文件(部编版)
103,这,zhe,一上,1,上,这里、这儿、这时,缺,本地识字表文件(部编版)
104,去,qu,一上,1,上,出去、去年、上去,缺,本地识字表文件(部编版)
105,年,nian,一上,1,上,新年、学年、年头,缺,本地识字表文件(部编版)
106,秋,qiu,一上,1,上,秋天、中秋、金秋,缺,本地识字表文件(部编版)
107,气,qi,一上,1,上,天气、生气、大气,缺,本地识字表文件(部编版)
108,了,le,一上,1,上,有了、成了、好了,缺,本地识字表文件(部编版)
109,树,shu,一上,1,上,小树、树林、树木,缺,本地识字表文件(部编版)
110,叶,ye,一上,1,上,叶子、红叶、叶面,缺,本地识字表文件(部编版)
111,黄,huang,一上,1,上,黄色、金黄、黄山,缺,本地识字表文件(部编版)
112,片,pian,一上,1,上,照片、大片、片段,缺,本地识字表文件(部编版)
113,从,cong,一上,1,上,从小、从头、自从,缺,本地识字表文件(部编版)
114,来,lai,一上,1,上,来到、来自、上来,缺,本地识字表文件(部编版)
115,飞,fei,一上,1,上,飞机、飞行、高飞,缺,本地识字表文件(部编版)
116,江,jiang,一上,1,上,长江、江水、江山,缺,本地识字表文件(部编版)
117,南,nan,一上,1,上,南方、南山、海南,缺,本地识字表文件(部编版)
118,可,ke,一上,1,上,可爱、可以、可心,缺,本地识字表文件(部编版)
119,采,cai,一上,1,上,采花、文采、风采,缺,本地识字表文件(部编版)
120,莲,lian,一上,1,上,莲花、莲子、雪莲,缺,本地识字表文件(部编版)
121,戏,xi,一上,1,上,马戏、戏法、大戏,缺,本地识字表文件(部编版)
122,间,jian,一上,1,上,时间、中间、人间,在,本地识字表文件(部编版)
123,东,dong,一上,1,上,东方、山东、东海,缺,本地识字表文件(部编版)
124,北,bei,一上,1,上,北京、北方、北海,缺,本地识字表文件(部编版)
125,的,de,一上,1,上,我的、有的、美的,缺,本地识字表文件(部编版)
126,家,jia,一上,1,上,大家、家人、一家,缺,本地识字表文件(部编版)
127,鸡,ji,一上,1,上,小鸡、公鸡、金鸡,缺,本地识字表文件(部编版)
128,竹,zhu,一上,1,上,竹子、竹马、空竹,缺,本地识字表文件(部编版)
129,牙,ya,一上,1,上,牙齿、长牙、牙口,缺,本地识字表文件(部编版)
130,用,yong,一上,1,上,用心、有用、家用,缺,本地识字表文件(部编版)
131,几,ji,一上,1,上,几天、几点、几年,在,本地识字表文件(部编版)
132,步,bu,一上,1,上,大步、步行、步子,缺,本地识字表文件(部编版)
133,没,mei,一上,1,上,没有、没事、没用,缺,本地识字表文件(部编版)
134,参,can,一上,1,上,参加、人参、参天,在,本地识字表文件(部编版)
135,加,jia,一上,1,上,加分、加法、加大,缺,本地识字表文件(部编版)
136,鸟,niao,一上,1,上,小鸟、鸟儿、海鸟,缺,本地识字表文件(部编版)
137,说,shuo,一上,1,上,小说、说法、说出,缺,本地识字表文件(部编版)
138,是,shi,一上,1,上,可是、正是、老是,缺,本地识字表文件(部编版)
139,春,chun,一上,1,上,春天、春风、长春,缺,本地识字表文件(部编版)
140,青,qing,一上,1,上,青草、青山、青海,缺,本地识字表文件(部编版)
141,蛙,wa,一上,1,上,青蛙、蛙泳、牛蛙,缺,本地识字表文件(部编版)
142,夏,xia,一上,1,上,夏天、夏季、夏日,缺,本地识字表文件(部编版)
143,着,zhe,一上,1,上,有着、看着、听着,缺,本地识字表文件(部编版)
144,皮,pi,一上,1,上,皮球、果皮、头皮,缺,本地识字表文件(部编版)
145,就,jiu,一上,1,上,就是、成就、就地,缺,本地识字表文件(部编版)
146,冬,dong,一上,1,上,冬天、冬日、冬青,缺,本地识字表文件(部编版)
147,男,nan,一上,1,上,男生、男子、男儿,缺,本地识字表文件(部编版)
148,女,nv,一上,1,上,女生、女儿、儿女,缺,本地识字表文件(部编版)
149,关,guan,一上,1,上,关心、关门、大关,缺,本地识字表文件(部编版)
150,正,zheng,一上,1,上,正好、正气、正中,缺,本地识字表文件(部编版)
151,反,fan,一上,1,上,相反、反手、反面,缺,本地识字表文件(部编版)
152,先,xian,一上,1,上,先生、先后、先行,缺,本地识字表文件(部编版)
153,后,hou,一上,1,上,以后、后天、后来,缺,本地识字表文件(部编版)
154,内,nei,一上,1,上,内心、内地、国内,在,本地识字表文件(部编版)
155,外,wai,一上,1,上,外面、外地、中外,缺,本地识字表文件(部编版)
156,对,dui,一上,1,上,对面、一对、对子,缺,本地识字表文件(部编版)
157,歌,ge,一上,1,上,儿歌、国歌、歌手,缺,本地识字表文件(部编版)
158,雨,yu,一上,1,上,下雨、大雨、雨天,缺,本地识字表文件(部编版)
159,风,feng,一上,1,上,风车、大风、海风,缺,本地识字表文件(部编版)
160,虫,chong,一上,1,上,虫子、昆虫、毛虫,缺,本地识字表文件(部编版)
161,清,qing,一上,1,上,清晨、清水、清白,缺,本地识字表文件(部编版)
162,绿,lv,一上,1,上,绿色、绿地、绿化,缺,本地识字表文件(部编版)
163,桃,tao,一上,1,上,桃子、桃花、桃红,缺,本地识字表文件(部编版)
164,红,hong,一上,1,上,红色、红花、红心,缺,本地识字表文件(部编版)
165,力,li,一上,1,上,力气、大力、水力,缺,本地识字表文件(部编版)
166,尖,jian,一上,1,上,脚尖、尖子、眼尖,缺,本地识字表文件(部编版)
167,尘,chen,一上,1,上,灰尘、尘土、沙尘,在,本地识字表文件(部编版)
168,众,zhong,一上,1,上,众人、大众、出众,缺,本地识字表文件(部编版)
169,双,shuang,一上,1,上,双手、双人、双打,缺,本地识字表文件(部编版)
170,林,lin,一上,1,上,山林、林子、小林,缺,本地识字表文件(部编版)
171,森,sen,一上,1,上,森林、森然、阴森,缺,本地识字表文件(部编版)
172,不,bu,一上,1,上,不是、不行、不动,缺,本地识字表文件(部编版)
173,条,tiao,一上,1,上,面条、长条、头条,缺,本地识字表文件(部编版)
174,心,xin,一上,1,上,开心、心中、一心,缺,本地识字表文件(部编版)
175,金,jin,一上,1,上,金色、金子、金山,缺,本地识字表文件(部编版)
176,包,bao,一上,1,上,书包、包子、小包,缺,本地识字表文件(部编版)
177,尺,chi,一上,1,上,尺子、皮尺、角尺,缺,本地识字表文件(部编版)
178,作,zuo,一上,1,上,作业、作家、动作,缺,本地识字表文件(部编版)
179,业,ye,一上,1,上,作业、学业、行业,缺,本地识字表文件(部编版)
180,笔,bi,一上,1,上,铅笔、毛笔、动笔,缺,本地识字表文件(部编版)
181,刀,dao,一上,1,上,剪刀、小刀、大刀,缺,本地识字表文件(部编版)
182,宝,bao,一上,1,上,宝贝、国宝、宝地,缺,本地识字表文件(部编版)
183,贝,bei,一上,1,上,贝壳、小贝、贝斯,缺,本地识字表文件(部编版)
184,少,shao,一上,1,上,多少、少年、少儿,在,本地识字表文件(部编版)
185,课,ke,一上,1,上,上课、下课、课本,缺,本地识字表文件(部编版)
186,早,zao,一上,1,上,早上、早点、早安,缺,本地识字表文件(部编版)
187,升,sheng,一上,1,上,上升、升高、升学,缺,本地识字表文件(部编版)
188,国,guo,一上,1,上,中国、大国、国花,缺,本地识字表文件(部编版)
189,旗,qi,一上,1,上,国旗、旗子、旗手,缺,本地识字表文件(部编版)
190,中,zhong,一上,1,上,中心、心中、中午,在,本地识字表文件(部编版)
191,们,men,一上,1,上,我们、他们、人们、你们,缺,本地识字表文件(部编版)
192,声,sheng,一上,1,上,大声、小声、声音,缺,本地识字表文件(部编版)
193,起,qi,一上,1,上,一起、起来、起床,缺,本地识字表文件(部编版)
194,多,duo,一上,1,上,多少、很多、多大,缺,本地识字表文件(部编版)
195,么,me,一上,1,上,什么、这么、多么,缺,本地识字表文件(部编版)
196,向,xiang,一上,1,上,向上、一向、方向,缺,本地识字表文件(部编版)
197,立,li,一上,1,上,站立、立正、立刻,缺,本地识字表文件(部编版)
198,老,lao,一上,1,上,老师、老人、老家,缺,本地识字表文件(部编版)
199,师,shi,一上,1,上,老师、师生、师长,缺,本地识字表文件(部编版)
200,工,gong,一上,1,上,工人、手工、工地,缺,本地识字表文件(部编版)
201,厂,chang,一上,1,上,工厂、厂家、厂长、出厂,缺,本地识字表文件(部编版)
202,医,yi,一上,1,上,医生、中医、医学,缺,本地识字表文件(部编版)
203,院,yuan,一上,1,上,院子、医院、出院,缺,本地识字表文件(部编版)
204,生,sheng,一上,1,上,学生、花生、天生,缺,本地识字表文件(部编版)
205,门,men,一上,1,上,大门、开门、门口,缺,本地识字表文件(部编版)
206,卫,wei,一上,1,上,卫生、自卫、卫国,缺,本地识字表文件(部编版)
207,船,chuan,一上,1,上,小船、船长、船头,缺,本地识字表文件(部编版)
208,弯,wan,一上,1,上,转弯、弯曲、弯月,缺,本地识字表文件(部编版)
209,儿,er,一上,1,上,儿子、儿童、儿女,缺,本地识字表文件(部编版)
210,两,liang,一上,1,上,两个、两边、两面,缺,本地识字表文件(部编版)
211,头,tou,一上,1,上,头发、大头、山头,缺,本地识字表文件(部编版)
212,在,zai,一上,1,上,在家、现在、自在,缺,本地识字表文件(部编版)
213,里,li,一上,1,上,心里、手里、里面,缺,本地识字表文件(部编版)
214,看,kan,一上,1,上,看见、看书、看法,在,本地识字表文件(部编版)
215,见,jian,一上,1,上,见面、再见、主见,缺,本地识字表文件(部编版)
216,闪,shan,一上,1,上,闪电、闪光、闪开,缺,本地识字表文件(部编版)
217,影,ying,一上,1,上,影子、电影、合影,缺,本地识字表文件(部编版)
218,前,qian,一上,1,上,前面、前天、面前,缺,本地识字表文件(部编版)
219,常,chang,一上,1,上,平常、日常、非常,缺,本地识字表文件(部编版)
220,黑,hei,一上,1,上,黑板、天黑、黑色,缺,本地识字表文件(部编版)
221,狗,gou,一上,1,上,小狗、狗年、热狗,缺,本地识字表文件(部编版)
222,左,zuo,一上,1,上,左手、左面、左转,缺,本地识字表文件(部编版)
223,右,you,一上,1,上,右手、右边、右面,缺,本地识字表文件(部编版)
224,它,ta,一上,1,上,它们、其它、管它,缺,本地识字表文件(部编版)
225,好,hao,一上,1,上,好人、好心、好学,缺,本地识字表文件(部编版)
226,朋,peng,一上,1,上,朋友、小朋友、老朋友,缺,本地识字表文件(部编版)
227,友,you,一上,1,上,朋友、友情、学友,缺,本地识字表文件(部编版)
228,件,jian,一上,1,上,文件、事件、物件,在,本地识字表文件(部编版)
229,有,you,一上,1,上,有人、有力、有心,缺,本地识字表文件(部编版)
230,和,he,一上,1,上,和平、和气、和好,在,本地识字表文件(部编版)
231,做,zuo,一上,1,上,做事、做人、做工,缺,本地识字表文件(部编版)
232,也,ye,一上,1,上,也许、也好、也就是,缺,本地识字表文件(部编版)
233,办,ban,一上,1,上,办法、办事、办公,缺,本地识字表文件(部编版)
234,到,dao,一上,1,上,到家、得到、学到,缺,本地识字表文件(部编版)
235,又,you,一上,1,上,又名、又称、又一次,缺,本地识字表文件(部编版)
236,才,cai,一上,1,上,天才、人才、口才,缺,本地识字表文件(部编版)
237,能,neng,一上,1,上,能力、能够、能干,缺,本地识字表文件(部编版)
238,爷,ye,一上,1,上,爷爷、大爷、老爷,缺,本地识字表文件(部编版)
239,奶,nai,一上,1,上,牛奶、奶奶、酸奶、奶茶,缺,本地识字表文件(部编版)
240,叔,shu,一上,1,上,叔叔、大叔、小叔,缺,本地识字表文件(部编版)
241,姐,jie,一上,1,上,姐姐、大姐、表姐、师姐,缺,本地识字表文件(部编版)
242,妹,mei,一上,1,上,妹妹、小妹、表妹、学妹,缺,本地识字表文件(部编版)
243,比,bi,一上,1,上,比分、无比、比心,缺,本地识字表文件(部编版)
244,尾,wei,一上,1,上,尾巴、马尾、长尾,缺,本地识字表文件(部编版)
245,巴,ba,一上,1,上,大巴、小巴、锅巴,缺,本地识字表文件(部编版)
246,谁,shui,一上,1,上,谁知、谁料、谁知道,缺,本地识字表文件(部编版)
247,长,zhang,一上,1,上,长江、长城、长生,缺,本地识字表文件(部编版)
248,短,duan,一上,1,上,短发、短文、长短,在,本地识字表文件(部编版)
249,把,ba,一上,1,上,把手、车把、门把,缺,本地识字表文件(部编版)
250,伞,san,一上,1,上,雨伞、打伞、跳伞,缺,本地识字表文件(部编版)
251,兔,tu,一上,1,上,兔子、白兔、兔年,缺,本地识字表文件(部编版)
252,最,zui,一上,1,上,最好、最近、最高,缺,本地识字表文件(部编版)
253,公,gong,一上,1,上,公园、公鸡、公平,缺,本地识字表文件(部编版)
254,喝,he,一上,1,上,喝茶、喝光、好喝,缺,本地识字表文件(部编版)
255,只,zhi,一上,1,上,只有、只好、只能,缺,本地识字表文件(部编版)
256,处,chu,一上,1,上,高处、长处、到处,在,本地识字表文件(部编版)
257,找,zhao,一上,1,上,找回、找出、找钱,缺,本地识字表文件(部编版)
258,许,xu,一上,1,上,许多、不许、许可,缺,本地识字表文件(部编版)
259,石,shi,一上,1,上,石头、石子、化石,缺,本地识字表文件(部编版)
260,出,chu,一上,1,上,出生、出国、出来,缺,本地识字表文件(部编版)
261,法,fa,一上,1,上,法子、法国、方法,缺,本地识字表文件(部编版)
262,放,fang,一上,1,上,放学、放心、放假,缺,本地识字表文件(部编版)
263,进,jin,一上,1,上,进行、上进、长进,缺,本地识字表文件(部编版)
264,高,gao,一上,1,上,高大、高山、高手,缺,本地识字表文件(部编版)
265,点,dian,一上,1,上,点心、点头、一点,缺,本地识字表文件(部编版)
266,彩,cai,一上,1,上,彩虹、水彩、彩车,缺,本地识字表文件(部编版)
267,半,ban,一上,1,上,一半、半天、上半,缺,本地识字表文件(部编版)
268,空,kong,一上,1,上,空中、空地、空心,缺,本地识字表文件(部编版)
269,问,wen,一上,1,上,问题、学问、发问,缺,本地识字表文件(部编版)
270,回,hui,一上,1,上,回家、回头、回国,缺,本地识字表文件(部编版)
271,答,da,一上,1,上,回答、答对、报答,在,本地识字表文件(部编版)
272,方,fang,一上,1,上,地方、大方、一方,缺,本地识字表文件(部编版)
273,久,jiu,一上,1,上,多久、长久、不久,缺,本地识字表文件(部编版)
274,更,geng,一上,1,上,更加、更新、更正,在,本地识字表文件(部编版)
275,牛,niu,一上,1,上,牛奶、水牛、牛头,缺,本地识字表文件(部编版)
276,羊,yang,一上,1,上,山羊、小羊、白羊,缺,本地识字表文件(部编版)
277,爪,zhao,一上,1,上,爪子、鸡爪、爪印,缺,本地识字表文件(部编版)
278,旦,dan,一上,1,上,一旦、旦角、元旦,在,本地识字表文件(部编版)
279,拼,pin,一上,1,上,拼音、拼字、拼车,缺,本地识字表文件(部编版)
280,音,yin,一上,1,上,发音、口音、高音,缺,本地识字表文件(部编版)
281,霜,shuang,一下,1,下,面霜、白霜、霜花,缺,本地识字表文件(部编版)
282,吹,chui,一下,1,下,吹风、吹牛、吹号,缺,本地识字表文件(部编版)
283,落,luo,一下,1,下,落下、落地、下落,在,本地识字表文件(部编版)
284,降,jiang,一下,1,下,下降、空降、降生,在,本地识字表文件(部编版)
285,飘,piao,一下,1,下,飘落、飘动、飘香,缺,本地识字表文件(部编版)
286,游,you,一下,1,下,游泳、游人、游水,缺,本地识字表文件(部编版)
287,池,chi,一下,1,下,水池、鱼池、电池,缺,本地识字表文件(部编版)
288,入,ru,一下,1,下,入学、入门、入口,缺,本地识字表文件(部编版)
289,氏,shi,一下,1,下,姓氏、氏族、人氏,缺,本地识字表文件(部编版)
290,李,li,一下,1,下,李子、行李、李白,缺,本地识字表文件(部编版)
291,张,zhang,一下,1,下,张开、张口、主张,缺,本地识字表文件(部编版)
292,古,gu,一下,1,下,古人、古文、自古,缺,本地识字表文件(部编版)
293,胡,hu,一下,1,下,胡子、胡同、胡萝卜,在,本地识字表文件(部编版)
294,吴,wu,一下,1,下,吴国、东吴、吴语,缺,本地识字表文件(部编版)
295,赵,zhao,一下,1,下,赵国、赵云、赵州桥,在,本地识字表文件(部编版)
296,钱,qian,一下,1,下,花钱、金钱、有钱,缺,本地识字表文件(部编版)
297,孙,sun,一下,1,下,子孙、孙子、孙女,缺,本地识字表文件(部编版)
298,周,zhou,一下,1,下,周一、下周、一周,缺,本地识字表文件(部编版)
299,官,guan,一下,1,下,长官、县官、小官,在,本地识字表文件(部编版)
300,晴,qing,一下,1,下,晴天、晴朗、放晴,缺,本地识字表文件(部编版)
301,眼,yan,一下,1,下,眼睛、眼花、一眼,缺,本地识字表文件(部编版)
302,睛,jing,一下,1,下,眼睛、眨眼睛、定睛,缺,本地识字表文件(部编版)
303,保,bao,一下,1,下,保护、保安、保温,在,本地识字表文件(部编版)
304,护,hu,一下,1,下,护士、保护、护理,缺,本地识字表文件(部编版)
305,害,hai,一下,1,下,有害、无害、利害,缺,本地识字表文件(部编版)
306,事,shi,一下,1,下,小事、大事、心事,缺,本地识字表文件(部编版)
307,情,qing,一下,1,下,心情、友情、热情,缺,本地识字表文件(部编版)
308,请,qing,一下,1,下,请教、请客、请进,缺,本地识字表文件(部编版)
309,让,rang,一下,1,下,让座、让路、让开,缺,本地识字表文件(部编版)
310,病,bing,一下,1,下,生病、病人、小病,缺,本地识字表文件(部编版)
311,相,xiang,一下,1,下,相信、相互、相机,在,本地识字表文件(部编版)
312,遇,yu,一下,1,下,遇见、相遇、奇遇,缺,本地识字表文件(部编版)
313,喜,xi,一下,1,下,喜欢、喜事、喜气,缺,本地识字表文件(部编版)
314,欢,huan,一下,1,下,欢乐、欢声、欢度,缺,本地识字表文件(部编版)
315,怕,pa,一下,1,下,害怕、可怕、不怕,缺,本地识字表文件(部编版)
316,攻,gong,一下,1,下,攻打、攻克、反攻,在,本地识字表文件(部编版)
317,言,yan,一下,1,下,发言、语言、文言,缺,本地识字表文件(部编版)
318,互,hu,一下,1,下,互相、互动、相互,缺,本地识字表文件(部编版)
319,令,ling,一下,1,下,口令、下令、令人,缺,本地识字表文件(部编版)
320,动,dong,一下,1,下,运动、动手、生动,缺,本地识字表文件(部编版)
321,万,wan,一下,1,下,万物、万一、上万,缺,本地识字表文件(部编版)
322,纯,chun,一下,1,下,纯白、纯正、清纯,缺,本地识字表文件(部编版)
323,净,jing,一下,1,下,干净、净化、清净,缺,本地识字表文件(部编版)
324,阴,yin,一下,1,下,阴天、阴面、阴凉,缺,本地识字表文件(部编版)
325,雷,lei,一下,1,下,雷电、地雷、雷公,缺,本地识字表文件(部编版)
326,电,dian,一下,1,下,电话、电子、手电,缺,本地识字表文件(部编版)
327,阵,zhen,一下,1,下,一阵、阵风、方阵,缺,本地识字表文件(部编版)
328,冻,dong,一下,1,下,解冻、冰冻、冻结,缺,本地识字表文件(部编版)
329,夹,jia,一下,1,下,夹子、发夹、夹克,在,本地识字表文件(部编版)
330,吃,chi,一下,1,下,吃饭、小吃、吃力,缺,本地识字表文件(部编版)
331,忘,wang,一下,1,下,忘记、难忘、忘词,缺,本地识字表文件(部编版)
332,井,jing,一下,1,下,水井、井口、天井,缺,本地识字表文件(部编版)
333,村,cun,一下,1,下,村子、山村、村里,缺,本地识字表文件(部编版)
334,叫,jiao,一下,1,下,叫声、名叫、叫好,缺,本地识字表文件(部编版)
335,毛,mao,一下,1,下,毛衣、毛发、羽毛,缺,本地识字表文件(部编版)
336,主,zhu,一下,1,下,主人、主动、自主,缺,本地识字表文件(部编版)
337,席,xi,一下,1,下,席子、草席、出席,缺,本地识字表文件(部编版)
338,乡,xiang,一下,1,下,家乡、乡下、水乡,缺,本地识字表文件(部编版)
339,亲,qin,一下,1,下,亲人、亲手、亲自,缺,本地识字表文件(部编版)
340,战,zhan,一下,1,下,战国、大战、战马,缺,本地识字表文件(部编版)
341,士,shi,一下,1,下,战士、道士、士气,缺,本地识字表文件(部编版)
342,面,mian,一下,1,下,面条、地面、一面,缺,本地识字表文件(部编版)
343,想,xiang,一下,1,下,想法、理想、想家,缺,本地识字表文件(部编版)
